&nbsp;	<div style="text-align: center; line-height: 25px"><b>I. АКТИВЫ</b></div>	тыс. руб.
1	Денежные  средства            	334694
2	Средства кредитных организаций в  Центральном банке Российской Федерации	310340
2,1	Обязательные резервы	54932
3	Средства в кредитных организациях 	227241
4	Чистые вложения в ценные бумаги, оцениваемые по справедливой стоимости через прибыль или убыток	1140481
5	Чистая ссудная задолженность 	5827275
6	Чистые вложения в инвестиционные ценные бумаги и другие финансовые активы, имеющиеся в наличии для продажи	19
6,1	Инвестиции в дочерние и зависимые организации 	0
7	Чистые вложения в  ценные бумаги, удерживаемые до погашения	0
8	Основные средства, нематериальные активы и материальные запасы	218916
9	Прочие активы 	297018
10	Всего активов	8355984
&nbsp;	<div style="text-align: center; line-height: 25px"><b>II. ПАССИВЫ</b></div>	тыс. руб.
11	Кредиты, депозиты и прочие средства Центрального банка Российской Федерации	0
12	Средства кредитных организаций	0
13	Средства клиентов  (некредитных организаций)	7436595
13,1	Вклады физических лиц  	5047274
14	Финансовые обязательства, оцениваемые по справедливой стоимости через прибыль или убыток	0
15	Выпущенные долговые обязательства	102009
16	Прочие обязательства	111920
17	Резервы на возможные потери по условным обязательствам кредитного характера, прочим возможным потерям и  операциям с резидентами офшорных зон	9893
18	Всего  обязательств	7660417
&nbsp;	<div style="text-align: center; line-height: 25px"><b>III.  ИСТОЧНИКИ СОБСТВЕННЫХ СРЕДСТВ</b></div>	тыс. руб.
19	Средства акционеров (участников)	34965
20	Собственные акции (доли) , выкупленные у акционеров (участников)	0
21	Эмиссионный доход	0
22	Резервный фонд	5245
23	Переоценка по справедливой стоимости ценных бумаг, имеющихся в наличии для продажи	0
24	Переоценка основных средств	130375
25	Нераспределенная прибыль прошлых лет (непокрытые убытки прошлых лет)	470192
26	Неиспользованная прибыль (убыток) за отчетный  период	54790
27	Всего источников собственных средств	695567
&nbsp;	<div style="text-align: center; line-height: 25px"><b>IV.  ВНЕБАЛАНСОВЫЕ ОБЯЗАТЕЛЬСТВА</b></div>	тыс. руб.
28	Безотзывные обязательства кредитной организации	1090684
29	Гарантии, выданные кредитной организацией	244293
